ResourceTypeAcronym,AttributeName,InstanceName,AggregationStatisticCV,IntervalTimeUnitCV,UnitNameCV,YearType,YearMonth,TimeSeriesValueID,CountDays,CalenderYear,CumulativeMonthly
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2011,18140,31,2011-07-31,398.67768595
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2011,18171,31,2011-08-31,126.94214876
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2011,18201,30,2011-09-30,265.785123967
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2012,18232,31,2012-05-31,462.148760331
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2012,18262,30,2012-06-30,535.537190083
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2012,18293,31,2012-07-31,103.140495868
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2012,18324,31,2012-08-31,216.198347107
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2012,18354,30,2012-09-30,182.479338843
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2013,18385,31,2013-05-31,325.289256198
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2013,18415,30,2013-06-30,184.462809917
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2013,18446,31,2013-07-31,95.2066115702
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2013,18477,31,2013-08-31,176.52892562
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2013,18507,30,2013-09-30,182.479338843
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2014,18538,31,2014-05-31,257.851239669
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2014,18568,30,2014-06-30,319.338842975
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2014,18599,31,2014-07-31,126.94214876
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2014,18630,31,2014-08-31,341.157024793
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2014,18660,30,2014-09-30,105.123966942
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,05/1996,18661,1,1996-05-01,339.173553719
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,06/1996,18662,1,1996-06-01,2439.66942149
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,07/1996,18663,1,1996-07-01,2078.67768595
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,08/1996,18664,1,1996-08-01,420.495867769
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,09/1996,18665,1,1996-09-01,4633.38842975
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,05/1997,18666,1,1997-05-01,696.198347107
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,06/1997,18667,1,1997-06-01,795.371900826
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,07/1997,18668,1,1997-07-01,485.950413223
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,08/1997,18669,1,1997-08-01,71.4049586777
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,09/1997,18670,1,1997-09-01,307.438016529
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,05/1998,18671,1,1998-05-01,359.008264463
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,06/1998,18672,1,1998-06-01,400.661157025
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,07/1998,18673,1,1998-07-01,426.446280992
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,08/1998,18674,1,1998-08-01,420.495867769
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,09/1998,18675,1,1998-09-01,402.644628099
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,05/1999,18676,1,1999-05-01,565.289256198
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,06/1999,18677,1,1999-06-01,1047.27272727
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,07/1999,18678,1,1999-07-01,678.347107438
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,08/1999,18679,1,1999-08-01,531.570247934
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,09/1999,18680,1,1999-09-01,632.727272727
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,05/2000,18681,1,2000-05-01,880.661157025
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,06/2000,18682,1,2000-06-01,535.537190083
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,07/2000,18683,1,2000-07-01,122.975206612
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,08/2000,18684,1,2000-08-01,382.809917355
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,09/2000,18685,1,2000-09-01,466.115702479
